month,periodLabel,patients.newThisMonth,patients.enteringActive,patients.inInitiationPeriod,patients.activePool,patients.churnedThisMonth,patients.totalActive,revenue.assessment,revenue.monitoring,revenue.total,revenue.subscription,cost.clinician,cost.admin,cost.platform,cost.insurance,cost.lab,cost.directTotal,cost.overhead,cost.total,cost.coach,cost.moderator,margin,cumulativeCashFlow,clinicianUtilisation,confidenceProfile
1,Month 1,4,3.1,3.4,3.0,0.1,7.0,1200.0,403.09,1900.89,297.8,2500.0,540.0,500.0,250.0,85.0,5775.0,1443.75,7218.75,1500.0,400.0,-5317.86,-5317.86,13.9,"low — early months, envelope-level overhead estimate"
2,Month 2,4,3.1,6.8,6.0,0.1,10.0,1200.0,799.34,2589.9,590.56,2500.0,540.0,500.0,250.0,170.0,5860.0,1465.0,7325.0,1500.0,400.0,-4735.1,-10052.95,16.3,"low — early months, envelope-level overhead estimate"
3,Month 3,4,3.1,10.2,8.9,0.2,12.9,1200.0,1188.88,3267.24,878.35,2500.0,540.0,500.0,250.0,255.0,5945.0,1486.25,7431.25,1500.0,400.0,-4164.01,-14216.97,18.7,"low — early months, envelope-level overhead estimate"
4,Month 4,4,3.1,13.6,11.7,0.2,15.7,1200.0,1571.82,3933.08,1161.27,2500.0,540.0,500.0,250.0,340.0,6030.0,1507.5,7537.5,1500.0,400.0,-3604.42,-17821.38,21.1,moderate — growth assumptions dominate
5,Month 5,4,3.1,17.0,14.5,0.3,18.5,1200.0,1948.26,4587.65,1439.39,2500.0,540.0,500.0,250.0,425.0,6115.0,1528.75,7643.75,1500.0,400.0,-3056.1,-20877.49,23.6,moderate — growth assumptions dominate
6,Month 6,4,3.1,20.4,17.3,0.3,21.3,1200.0,2318.32,5231.11,1712.79,6500.0,540.0,500.0,250.0,510.0,10200.0,2550.0,12750.0,1500.0,400.0,-7518.89,-28396.38,10.0,moderate — growth assumptions dominate
7,Month 7,4,3.1,23.8,20.0,0.3,24.0,1200.0,2682.11,5863.67,1981.56,6500.0,540.0,500.0,250.0,595.0,10285.0,2571.25,12856.25,1500.0,400.0,-6992.58,-35388.96,10.9,moderate — growth assumptions dominate
8,Month 8,4,3.1,27.2,22.7,0.4,26.7,1200.0,3039.73,6485.5,2245.77,6500.0,540.0,500.0,250.0,680.0,10370.0,2592.5,12962.5,1500.0,400.0,-6477.0,-41865.96,11.9,moderate — growth assumptions dominate
9,Month 9,4,3.1,27.2,25.3,0.4,29.3,1200.0,3391.29,7096.79,2505.5,6500.0,540.0,500.0,250.0,680.0,10370.0,2592.5,12962.5,1500.0,400.0,-5865.71,-47731.67,11.9,moderate — growth assumptions dominate
10,Month 10,4,3.1,27.2,27.9,0.5,31.9,1200.0,3736.89,7697.72,2760.83,6500.0,540.0,500.0,250.0,690.31,10380.31,2595.08,12975.39,1500.0,400.0,-5277.67,-53009.34,11.9,moderate — growth assumptions dominate
11,Month 11,4,3.1,27.2,30.4,0.5,34.4,1200.0,4076.62,8288.46,3011.83,6500.0,540.0,500.0,250.0,728.34,10418.34,2604.58,13022.92,1500.0,400.0,-4734.46,-57743.8,12.2,moderate — growth assumptions dominate
12,Month 12,4,3.1,27.2,32.9,0.6,36.9,1200.0,4410.6,8869.19,3258.58,9000.0,540.0,500.0,250.0,765.72,12955.72,3238.93,16194.66,1500.0,400.0,-7325.47,-65069.27,8.9,moderate — growth assumptions dominate
13,Month 13,6,4.6,28.9,36.9,0.6,42.9,1800.0,4940.47,10390.51,3650.05,9000.0,540.0,500.0,250.0,842.04,13032.04,3258.01,16290.05,1500.0,400.0,-5899.53,-70968.81,11.0,moderate — conversion and churn assumptions becoming significant
14,Month 14,6,4.6,30.6,40.8,0.7,46.8,1800.0,5461.35,11296.22,4034.88,9000.0,540.0,500.0,250.0,917.34,13107.34,3276.84,16384.18,1500.0,400.0,-5087.96,-76056.76,11.5,moderate — conversion and churn assumptions becoming significant
15,Month 15,6,4.6,32.3,44.6,0.8,50.6,1800.0,5973.4,12186.58,4413.18,9000.0,540.0,500.0,250.0,991.66,13181.66,3295.42,16477.08,1500.0,400.0,-4290.5,-80347.26,12.0,moderate — conversion and churn assumptions becoming significant
16,Month 16,6,4.6,34.0,48.3,0.8,54.3,1800.0,6476.77,13061.84,4785.07,9000.0,540.0,500.0,250.0,1065.01,13255.01,3313.75,16568.76,1500.0,400.0,-3506.92,-83854.18,12.5,moderate — conversion and churn assumptions becoming significant
17,Month 17,6,4.6,35.7,52.0,0.9,58.0,1800.0,6971.6,13922.27,5150.66,9000.0,540.0,500.0,250.0,1137.4,13327.4,3331.85,16659.25,1500.0,400.0,-2736.99,-86591.17,12.9,moderate — conversion and churn assumptions becoming significant
18,Month 18,6,4.6,37.4,55.7,1.0,61.7,1800.0,7458.05,14768.1,5510.05,9000.0,540.0,500.0,250.0,1208.86,13398.86,3349.71,16748.57,1500.0,400.0,-1980.47,-88571.64,13.4,moderate — conversion and churn assumptions becoming significant
19,Month 19,6,4.6,39.1,59.2,1.0,65.2,1800.0,7936.25,15599.6,5863.35,9000.0,540.0,500.0,250.0,1279.39,13469.39,3367.35,16836.73,1500.0,400.0,-1237.13,-89808.77,13.9,moderate — long-term churn assumption least validated
20,Month 20,6,4.6,40.8,62.7,1.1,68.7,1800.0,8406.35,16417.01,6210.66,9000.0,540.0,500.0,250.0,1349.01,13539.01,3384.75,16923.76,1500.0,400.0,-506.75,-90315.52,14.3,moderate — long-term churn assumption least validated
21,Month 21,6,4.6,40.8,66.2,1.1,72.2,1800.0,8868.47,17220.55,6552.08,9000.0,540.0,500.0,250.0,1400.74,13590.74,3397.68,16988.42,1500.0,400.0,232.13,-90083.39,14.5,moderate — long-term churn assumption least validated
22,Month 22,6,4.6,40.8,69.6,1.2,75.6,1800.0,9322.76,18010.48,6887.71,9000.0,540.0,500.0,250.0,1451.59,13641.59,3410.4,17051.99,1500.0,400.0,958.49,-89124.91,14.8,moderate — long-term churn assumption least validated
23,Month 23,6,4.6,40.8,72.9,1.3,78.9,1800.0,9769.35,18787.01,7217.66,9000.0,540.0,500.0,250.0,1501.58,13691.58,3422.9,17114.48,1500.0,400.0,1672.53,-87452.38,15.0,moderate — long-term churn assumption least validated
24,Month 24,6,4.6,40.8,76.2,1.3,82.2,1800.0,10208.37,19550.38,7542.01,9000.0,540.0,500.0,250.0,1550.73,13740.73,3435.18,17175.91,1500.0,400.0,2374.47,-85077.91,15.2,moderate — long-term churn assumption least validated
